			Gravity FAA (Sandwell et al, v24.1)	EMAG2 (2-arc-minute resolution, 2013)	Gravity (Sandwell and Smith 97)	GMRT Grid Version 3.9
Longitude	Latitude	Distance (km)	Free-Air Anomaly (mgal)	Magnetic Anomaly (nT)	Gravity Anomaly (mgal)	Elevation (m)
-105.09514	9.127539	203.82324	-1.175421	-60.674267	-2.9467678	-3241.0933
-105.086365	9.128213	204.78923	-0.5650486	-60.223553	-1.637144	-3196.7698
-105.07759	9.128887	205.75522	0.06009357	-59.81525	0.06492197	-3169.8953
-105.06882	9.129561	206.7212	0.6975871	-59.08479	1.8876009	-3241.391
-105.06004	9.130235	207.6872	1.1142995	-58.168777	3.7675512	-3260.3987
-105.05128	9.130908	208.65318	1.3154331	-57.322704	5.35556	-3206.8782
-105.0425	9.131581	209.61917	1.2974494	-56.74149	6.5677323	-3210.485
-105.03373	9.132255	210.58516	1.0559632	-56.224983	7.0683603	-3218.6067
-105.024956	9.132927	211.55115	0.76355535	-55.844574	7.0197105	-3197.405
-105.01618	9.1336	212.51714	0.4243683	-55.738354	6.507511	-3136.9133
-105.007416	9.134273	213.48312	0.26371303	-56.06667	5.673324	-3043.2427
-104.99864	9.134945	214.44911	0.2851028	-56.926987	4.5911555	-3065.3018
-104.98987	9.135616	215.4151	0.586566	-58.034245	3.480978	-3158.8413
-104.981094	9.136289	216.38109	1.1844215	-59.05859	2.4648287	-3194.6833
-104.97232	9.13696	217.34708	1.7814987	-59.80456	1.6224244	-3182.4858
-104.96355	9.137631	218.31306	2.3781533	-60.719032	0.9903493	-3168.7622
-104.95477	9.138303	219.27905	2.7819016	-61.406746	0.51817	-3178.6685
-104.94601	9.138973	220.24504	2.9979022	-61.30455	0.20008963	-3166.7803
-104.93723	9.139645	221.21103	2.77165	-59.83079	-0.058164958	-3144.789
-104.92846	9.140315	222.17702	2.0748835	-56.83122	-0.27406323	-3159.4539
-104.919685	9.1409855	223.143	1.2826768	-53.02657	-0.39468828	-3164.6294
-104.91091	9.141655	224.109	0.37354308	-49.22457	-0.4146139	-3207.1362
-104.90214	9.142325	225.07498	-0.23425245	-46.053658	-0.2653022	-3211.292
-104.893364	9.142995	226.04097	-0.5340467	-42.902428	0.022212515	-3174.4683
-104.88459	9.143664	227.00696	-0.57724786	-39.986526	0.42639613	-3178.1375
-104.875824	9.144334	227.97295	-0.34568024	-37.756706	0.8975305	-3122.074
-104.86705	9.145002	228.93893	-0.295093	-36.6784	1.3641596	-3042.6035
-104.85828	9.145672	229.90492	-0.41471952	-36.876057	1.696934	-3076.615
-104.8495	9.14634	230.87091	-0.60884225	-37.81297	1.710513	-3145.686
