			EMAG2 (2-arc-minute resolution, 2013)	Gravity FAA (Sandwell et al, v24.1)	Gravity (Sandwell and Smith 97)	GMRT Grid Version 3.9
Longitude	Latitude	Distance (km)	Magnetic Anomaly (nT)	Free-Air Anomaly (mgal)	Gravity Anomaly (mgal)	Elevation (m)
-47.39433	27.96183	646.5699	-3.8010137	-21.79233	-20.874577	-4922.4326
-47.360287	27.952686	650.0649	-13.972375	-25.410454	-24.712542	-5016.6455
-47.32625	27.943533	653.5599	-24.734732	-27.656921	-25.935108	-4969.011
-47.292213	27.934372	657.0549	-30.072369	-23.64896	-20.562918	-4793.6626
-47.258186	27.925201	660.54987	-28.789375	-15.328142	-11.6685705	-4587.7295
-47.224167	27.916023	664.04486	-23.786572	-6.072479	-4.8685904	-4422.2266
-47.19015	27.906837	667.53986	-12.944642	1.5699185	-0.32833764	-4279.9727
-47.156143	27.897642	671.03485	3.893797	6.086092	3.6413093	-4157.76
-47.12214	27.88844	674.52985	16.66229	6.5066867	5.55384	-4188.343
-47.08814	27.879227	678.02484	13.67609	3.2638228	4.704039	-4424.847
-47.054146	27.870007	681.51984	-7.721941	-0.21308881	3.1909537	-4529.5166
-47.02016	27.860779	685.01483	-35.381935	-0.67173123	3.6717355	-4284.7163
-46.98618	27.851543	688.5098	-51.264088	4.3006077	5.538393	-3986.1045
-46.952206	27.842299	692.0048	-50.183506	7.938397	6.137205	-4028.4841
-46.918236	27.833044	695.4998	-43.711014	6.5006623	4.762751	-4208.3223
-46.88427	27.823784	698.9948	-41.36484	2.7616682	2.431304	-4197.5146
-46.850315	27.814512	702.4898	-38.540237	-0.8353485	0.16580051	-4132.6733
-46.81636	27.805235	705.9848	-25.300186	-3.4650142	-2.0784695	-4080.057
-46.782417	27.795948	709.4798	-3.184855	-5.071899	-4.8677354	-4129.867
-46.748474	27.786654	712.9748	17.390293	-7.223856	-8.45155	-4127.5664
-46.714542	27.777351	716.4698	32.20409	-10.319224	-12.4868	-4213.8677
-46.68061	27.76804	719.9648	41.091576	-14.953587	-15.948945	-4387.4077
-46.64669	27.75872	723.4598	43.84409	-19.996727	-17.510294	-4479.871
-46.612774	27.749392	726.9548	36.00813	-21.357853	-16.559134	-4560.0977
-46.57886	27.740055	730.44977	22.565647	-18.139338	-13.755761	-4537.891
-46.544956	27.730711	733.94476	10.6973505	-11.973768	-9.851528	-4403.5254
-46.511055	27.72136	737.43976	3.6603281	-5.047434	-4.6855907	-4272.429
-46.47716	27.711998	740.93475	-1.4895155	1.9428596	3.3054435	-4130.935
-46.443275	27.70263	744.42975	-4.8078566	10.76807	12.348747	-3899.5562
-46.409393	27.69325	747.92474	-0.26756352	18.780169	17.291359	-3686.4785
-46.375515	27.683867	751.41974	9.809342	20.100222	18.045301	-3590.9272
-46.341644	27.67447	754.91473	11.647679	19.118048	17.740437	-3614.517
-46.30778	27.66507	758.4097	-8.306753	16.857037	15.702373	-3729.354
-46.273922	27.655659	761.9047	-46.88511	11.740351	10.716563	-3921.4424
-46.24007	27.64624	765.3997	-78.753296	4.256439	3.4607177	-4070.5227
-46.206223	27.636814	768.8947	-85.597	-5.353628	-4.4947157	-4116.074
-46.172382	27.627378	772.3897	-71.31129	-11.68526	-10.968581	-4184.577
-46.138546	27.617935	775.8847	-48.63377	-14.699216	-13.877684	-4185.321
-46.104717	27.608484	779.3797	-26.15231	-16.844498	-13.63703	-4170.5073
-46.070892	27.599024	782.8747	-5.823481	-16.683392	-13.264376	-4191.4873
-46.037075	27.589556	786.3697	12.85392	-16.577934	-14.536682	-4215.894
-46.00326	27.58008	789.8647	29.012794	-16.910212	-15.939389	-4238.571
-45.969456	27.570597	793.3597	35.934326	-17.535534	-15.375653	-4245.006
-45.935654	27.561104	796.8547	25.657879	-14.727499	-13.086358	-4176.206
-45.90186	27.551603	800.3497	1.8620579	-10.728098	-10.239498	-4055.8152
-45.868073	27.542095	803.84467	-22.07492	-6.086517	-7.3129015	-4003.8718
-45.83429	27.532578	807.33966	-33.803043	-0.9869062	-3.6448038	-3850.9255
-45.80051	27.523052	810.83466	-32.978943	0.5822246	-1.0574832	-3648.154
-45.76674	27.51352	814.32965	-32.140423	-3.1606016	-2.5984836	-3747.1223
-45.732975	27.503979	817.82465	-43.217323	-9.723917	-6.683005	-3924.5667
-45.699215	27.494429	821.31964	-62.30782	-13.372539	-10.842345	-4097.1157
-45.665462	27.48487	824.81464	-71.09551	-15.627618	-14.963498	-4262.3213
-45.631714	27.475306	828.30963	-56.52639	-15.95268	-17.275764	-4339.0415
-45.597973	27.46573	831.8046	-20.941723	-12.809675	-15.014312	-4252.7754
-45.564236	27.456148	835.2996	24.917433	-7.6436124	-9.786442	-3992.8848
-45.530506	27.446558	838.7946	65.30071	-5.862891	-6.4626102	-3805.7354
-45.49678	27.43696	842.2896	79.30635	-7.904558	-5.5080347	-3825.5796
-45.463062	27.427355	845.7846	61.58112	-6.4141874	-5.8137712	-3887.648
-45.42935	27.41774	849.2796	27.660316	-5.5338116	-5.971235	-3908.3425
-45.395645	27.408117	852.7746	-2.1135917	-2.57626	-3.4361627	-3818.593
-45.361942	27.398485	856.2696	-19.32826	4.874215	3.7768161	-3612.1873
-45.328247	27.388847	859.7646	-31.260418	14.169374	13.155774	-3370.2175
-45.29456	27.3792	863.2596	-40.957302	21.16971	18.170862	-3220.4648
-45.260876	27.369545	866.7546	-38.436584	20.832588	16.555077	-3248.2996
-45.2272	27.359882	870.2496	-20.567766	14.049735	10.89312	-3406.2148
-45.193527	27.35021	873.74457	4.625018	4.2751174	3.5957868	-3689.049
-45.159863	27.34053	877.23956	26.53404	-1.7845913	-0.50871265	-3872.2236
-45.1262	27.330845	880.73456	36.082462	0.48754582	2.570208	-3910.9575
-45.09255	27.321148	884.22955	33.65011	8.608479	9.085896	-3502.0374
-45.0589	27.311445	887.72455	26.435108	17.811922	15.243911	-3315.0972
-45.025257	27.301733	891.21954	14.954928	23.37537	19.026611	-3326.2908
-44.991623	27.292013	894.71454	-1.4726294	22.535301	19.175552	-3394.1409
-44.957993	27.282286	898.20953	-12.6998005	18.982977	17.865793	-3395.116
