			GMRT Grid Version 3.9
Longitude	Latitude	Distance (km)	Elevation (m)
-35.413345	30.688848	1277.7329	-4316.9307
-35.380424	30.679153	1281.0603	-4540.8745
-35.34751	30.66945	1284.3877	-4666.3984
-35.314606	30.659739	1287.7151	-4637.6177
-35.281708	30.65002	1291.0425	-4500.2085
-35.248814	30.640293	1294.3699	-4350.995
-35.215927	30.630556	1297.6973	-4266.7676
-35.18305	30.620811	1301.0247	-4252.153
-35.150173	30.61106	1304.352	-4261.3228
-35.11731	30.6013	1307.6794	-4210.3066
-35.08445	30.59153	1311.0068	-3907.6812
-35.051598	30.581753	1314.3342	-3920.965
-35.01875	30.571966	1317.6616	-4150.6274
-34.98591	30.562174	1320.989	-4327.4956
-34.953075	30.55237	1324.3164	-4374.3857
-34.92025	30.54256	1327.6438	-4312.456
-34.88743	30.532742	1330.9712	-4240.794
-34.854618	30.522915	1334.2986	-4243.6597
-34.82181	30.51308	1337.626	-4326.3496
-34.78901	30.503237	1340.9534	-4428.59
-34.756218	30.493385	1344.2808	-4499.021
-34.72343	30.483526	1347.6082	-4515.166
-34.69065	30.47366	1350.9355	-4458.133
-34.657875	30.463783	1354.263	-4299.27
-34.62511	30.4539	1357.5903	-4059.886
-34.59235	30.444006	1360.9177	-3863.791
-34.559597	30.434105	1364.2451	-3840.0203
-34.526848	30.424196	1367.5725	-3970.9922
-34.49411	30.41428	1370.8999	-4143.0273
-34.461376	30.404356	1374.2273	-4268.1846
-34.42865	30.394423	1377.5547	-4331.287
-34.395927	30.384481	1380.8821	-4365.0024
-34.363216	30.37453	1384.2095	-4448.8604
-34.33051	30.364574	1387.5369	-4649.342
-34.29781	30.354609	1390.8643	-4779.501
-34.265114	30.344633	1394.1917	-4735.0747
-34.23243	30.334652	1397.519	-4677.72
-34.19975	30.324661	1400.8464	-4579.5386
-34.167076	30.314663	1404.1738	-4393.6543
-34.134407	30.304657	1407.5012	-4398.6924
-34.101746	30.294641	1410.8286	-4660.7646
-34.06909	30.28462	1414.156	-4829.045
-34.036446	30.27459	1417.4834	-4867.149
-34.003807	30.26455	1420.8108	-4828.6987
-33.971172	30.254503	1424.1382	-4710.2466
-33.938545	30.244448	1427.4656	-4559.965
-33.905926	30.234385	1430.793	-4436.2217
-33.873314	30.224314	1434.1204	-4365.4155
-33.840706	30.214235	1437.4478	-4382.057
-33.808105	30.204147	1440.7751	-4493.801
-33.775513	30.194052	1444.1025	-4653.5454
-33.742928	30.183949	1447.4299	-4802.251
-33.710346	30.173838	1450.7573	-4908.2075
-33.677773	30.163717	1454.0847	-4944.1772
-33.645206	30.15359	1457.4121	-4919.5444
-33.612644	30.143454	1460.7395	-4885.3877
-33.580093	30.13331	1464.0669	-4828.7695
-33.547546	30.12316	1467.3943	-4817.615
-33.515007	30.112999	1470.7217	-4829.2466
-33.48247	30.10283	1474.0491	-4900.127
-33.449947	30.092655	1477.3765	-4971.0938
-33.417427	30.082472	1480.7039	-4988.782
-33.384914	30.07228	1484.0312	-4912.5273
-33.352406	30.06208	1487.3586	-4643.6533
-33.31991	30.051872	1490.686	-4455.833
-33.287415	30.041656	1494.0134	-4647.52
-33.25493	30.031433	1497.3408	-4707.501
-33.222446	30.021202	1500.6682	-4591.218
-33.189976	30.010962	1503.9956	-4468.1772
-33.15751	30.000713	1507.323	-4757.122
-33.12505	29.99046	1510.6504	-4824.8286
-33.092598	29.980194	1513.9778	-4946.44
-33.06015	29.969923	1517.3052	-4977.5654
-33.02771	29.959644	1520.6326	-5032.577
-32.995277	29.949356	1523.96	-5097.054
-32.962852	29.93906	1527.2874	-5119.962
-32.930435	29.928759	1530.6147	-5092.7837
-32.89802	29.918447	1533.9421	-5018.0513
-32.865616	29.908127	1537.2695	-4909.834
-32.833218	29.8978	1540.5969	-4797.646
-32.800823	29.887465	1543.9243	-4605.7393
-32.768436	29.877123	1547.2517	-4372.1416
-32.73606	29.866772	1550.5791	-4268.0693
-32.703686	29.856413	1553.9065	-4684.657
-32.67132	29.846046	1557.2339	-4847.7285
-32.63896	29.835672	1560.5613	-4853.8096
-32.60661	29.825289	1563.8887	-4873.174
-32.574265	29.8149	1567.2161	-4955.321
-32.541927	29.8045	1570.5435	-4977.44
-32.509594	29.794096	1573.8708	-4925.6616
-32.47727	29.783682	1577.1982	-4900.858
-32.44495	29.77326	1580.5256	-4924.399
-32.41264	29.76283	1583.853	-4960.305
-32.380337	29.752392	1587.1804	-4950.978
-32.348038	29.741947	1590.5078	-4824.7017
-32.315746	29.731495	1593.8352	-4733.4023
-32.28346	29.721033	1597.1626	-4681.8916
-32.251183	29.710564	1600.49	-4704.7993
-32.21891	29.700089	1603.8174	-4762.938
-32.186646	29.689604	1607.1448	-4758.853
-32.15439	29.679111	1610.4722	-4791.8022
-32.12214	29.668612	1613.7996	-4774.5386
-32.089893	29.658104	1617.127	-4577.059
-32.057655	29.647587	1620.4543	-4228.798
-32.025425	29.637064	1623.7817	-4120.9976
-31.9932	29.626534	1627.1091	-4153.638
-31.960983	29.615993	1630.4365	-4296.3784
-31.928772	29.605448	1633.7639	-4145.497
-31.896568	29.594893	1637.0913	-4077.4165
-31.864372	29.58433	1640.4187	-4065.4414
-31.83218	29.57376	1643.7461	-4089.951
-31.799997	29.563183	1647.0735	-4234.6255
-31.76782	29.552597	1650.4009	-4469.6484
-31.73565	29.542004	1653.7283	-4581.673
-31.703487	29.531403	1657.0557	-4602.651
-31.67133	29.520792	1660.383	-4627.9834
-31.63918	29.510176	1663.7104	-4663.3887
-31.607037	29.499552	1667.0378	-4646.561
-31.5749	29.48892	1670.3652	-4578.883
-31.54277	29.47828	1673.6926	-4507.3296
-31.510647	29.467632	1677.02	-4459.133
-31.47853	29.456978	1680.3474	-4444.533
-31.44642	29.446314	1683.6748	-4452.536
-31.414318	29.435644	1687.0022	-4479.093
-31.382223	29.424965	1690.3296	-4525.1865
-31.350134	29.41428	1693.657	-4578.1577
-31.31805	29.403585	1696.9844	-4616.3022
-31.285975	29.392883	1700.3118	-4643.906
-31.253906	29.382175	1703.6392	-4697.542
